Worm number,Experiment Name,Plate ID,Well Location,Dosage,Strain,Any worm detected,Last day of observation,Last day of health,Manual Censor,Runoff Censor inital,Runoff Censor experiment,Potentially still alive,Death Detected
282,Glycoproteins_004,1uM_WA_and_01uM_WA,42,1uM WA44-6,n2,1,17,16,0,0,0,0,1
283,Glycoproteins_004,1uM_WA_and_01uM_WA,43,1uM WA44-6,n2,1,4,4,0,0,1,0,0
284,Glycoproteins_004,1uM_WA_and_01uM_WA,44,1uM WA44-6,n2,1,23,23,0,0,1,0,0
285,Glycoproteins_004,1uM_WA_and_01uM_WA,45,1uM WA44-6,n2,1,21,20,0,0,0,0,1
286,Glycoproteins_004,1uM_WA_and_01uM_WA,46,1uM WA44-6,n2,1,20,19,0,0,0,0,1
287,Glycoproteins_004,1uM_WA_and_01uM_WA,47,1uM WA44-6,n2,0,2,0,0,1,0,0,0
288,Glycoproteins_004,1uM_WA_and_01uM_WA,48,1uM WA44-6,n2,1,5,0,0,1,0,0,0
289,Glycoproteins_004,1uM_WA_and_01uM_WA,49,1uM WA44-6,n2,0,11,0,0,1,0,0,0
290,Glycoproteins_004,1uM_WA_and_01uM_WA,50,1uM WA44-6,n2,1,23,13,0,0,0,0,1
291,Glycoproteins_004,1uM_WA_and_01uM_WA,51,1uM WA44-6,n2,1,11,11,0,0,1,0,0
292,Glycoproteins_004,1uM_WA_and_01uM_WA,52,1uM WA44-6,n2,1,5,0,0,1,0,0,0
293,Glycoproteins_004,1uM_WA_and_01uM_WA,53,1uM WA44-6,n2,1,22,20,0,0,0,0,1
294,Glycoproteins_004,1uM_WA_and_01uM_WA,54,1uM WA44-6,n2,1,14,13,0,0,0,0,1
295,Glycoproteins_004,1uM_WA_and_01uM_WA,55,1uM WA44-6,n2,0,1,0,0,1,0,0,0
296,Glycoproteins_004,1uM_WA_and_01uM_WA,56,1uM WA44-6,n2,1,20,17,0,0,0,0,1
297,Glycoproteins_004,1uM_WA_and_01uM_WA,57,1uM WA44-6,n2,1,23,22,0,0,0,0,1
298,Glycoproteins_004,1uM_WA_and_01uM_WA,58,1uM WA44-6,n2,1,2,0,0,1,0,0,0
299,Glycoproteins_004,1uM_WA_and_01uM_WA,59,1uM WA44-6,n2,0,1,0,0,1,0,0,0
300,Glycoproteins_004,1uM_WA_and_01uM_WA,60,1uM WA44-6,n2,1,21,18,0,0,0,0,1
301,Glycoproteins_004,1uM_WA_and_01uM_WA,61,1uM WA44-6,n2,1,6,0,0,0,0,0,1
302,Glycoproteins_004,1uM_WA_and_01uM_WA,62,1uM WA44-6,n2,0,1,0,0,1,0,0,0
303,Glycoproteins_004,1uM_WA_and_01uM_WA,63,1uM WA44-6,n2,1,22,20,0,0,0,0,1
304,Glycoproteins_004,1uM_WA_and_01uM_WA,64,1uM WA44-6,n2,1,23,23,0,0,1,0,0
305,Glycoproteins_004,1uM_WA_and_01uM_WA,65,1uM WA44-6,n2,1,20,18,0,0,0,0,1
306,Glycoproteins_004,1uM_WA_and_01uM_WA,66,1uM WA44-6,n2,1,16,15,0,0,0,0,1
307,Glycoproteins_004,1uM_WA_and_01uM_WA,67,1uM WA44-6,n2,1,21,21,0,0,0,0,1
308,Glycoproteins_004,1uM_WA_and_01uM_WA,68,1uM WA44-6,n2,1,21,21,0,0,1,0,0
309,Glycoproteins_004,1uM_WA_and_01uM_WA,69,1uM WA44-6,n2,1,26,24,0,0,0,0,1
310,Glycoproteins_004,1uM_WA_and_01uM_WA,70,1uM WA44-6,n2,1,1,0,0,1,0,0,0
311,Glycoproteins_004,1uM_WA_and_01uM_WA,71,1uM WA44-6,n2,1,18,16,0,0,0,0,1
312,Glycoproteins_004,1uM_WA_and_01uM_WA,72,1uM WA44-6,n2,1,19,16,0,0,0,0,1
313,Glycoproteins_004,1uM_WA_and_01uM_WA,73,1uM WA44-6,n2,1,21,18,0,0,0,0,1
314,Glycoproteins_004,1uM_WA_and_01uM_WA,74,1uM WA44-6,n2,1,18,16,0,0,0,0,1
315,Glycoproteins_004,1uM_WA_and_01uM_WA,75,1uM WA44-6,n2,0,3,0,0,1,0,0,0
316,Glycoproteins_004,1uM_WA_and_01uM_WA,76,1uM WA44-6,n2,1,1,0,0,1,0,0,0
317,Glycoproteins_004,1uM_WA_and_01uM_WA,77,1uM WA44-6,n2,1,11,10,0,0,0,0,1
318,Glycoproteins_004,1uM_WA_and_01uM_WA,78,1uM WA44-6,n2,1,1,0,0,1,0,0,0
319,Glycoproteins_004,1uM_WA_and_01uM_WA,79,1uM WA44-6,n2,1,29,20,0,0,0,0,1
320,Glycoproteins_004,1uM_WA_and_01uM_WA,80,1uM WA44-6,n2,1,20,28,0,0,0,0,1
321,Glycoproteins_004,1uM_WA_and_01uM_WA,81,1uM WA44-6,n2,1,18,17,0,0,0,0,1
322,Glycoproteins_004,1uM_WA_and_01uM_WA,82,1uM WA44-6,n2,1,2,0,0,1,0,0,0
323,Glycoproteins_004,1uM_WA_and_01uM_WA,83,1uM WA44-6,n2,1,21,17,0,0,0,0,1
324,Glycoproteins_004,1uM_WA_and_01uM_WA,84,1uM WA44-6,n2,1,14,13,0,0,0,0,1
325,Glycoproteins_004,1uM_WA_and_01uM_WA,85,1uM WA44-6,n2,1,18,18,0,0,1,0,0
326,Glycoproteins_004,1uM_WA_and_01uM_WA,86,1uM WA44-6,n2,1,20,18,0,0,0,0,1
327,Glycoproteins_004,1uM_WA_and_01uM_WA,87,1uM WA44-6,n2,1,18,17,0,0,0,0,1
328,Glycoproteins_004,1uM_WA_and_01uM_WA,88,1uM WA44-6,n2,1,19,21,0,0,0,0,1
329,Glycoproteins_004,1uM_WA_and_01uM_WA,89,1uM WA44-6,n2,1,6,4,0,0,0,0,1
330,Glycoproteins_004,1uM_WA_and_01uM_WA,90,1uM WA44-6,n2,0,4,0,0,1,0,0,0
331,Glycoproteins_004,1uM_WA_and_01uM_WA,91,1uM WA44-6,n2,1,21,27,0,0,0,0,1
332,Glycoproteins_004,1uM_WA_and_01uM_WA,92,1uM WA44-6,n2,1,22,21,0,0,0,0,1
333,Glycoproteins_004,1uM_WA_and_01uM_WA,93,1uM WA44-6,n2,1,21,19,0,0,0,0,1
334,Glycoproteins_004,1uM_WA_and_01uM_WA,94,1uM WA44-6,n2,1,21,19,0,0,0,0,1
335,Glycoproteins_004,1uM_WA_and_01uM_WA,95,1uM WA44-6,n2,1,20,12,0,0,0,0,1
336,Glycoproteins_004,1uM_WA_and_01uM_WA,96,1uM WA44-6,n2,1,13,14,0,0,0,0,1
337,Glycoproteins_004,1uM_WA_and_01uM_WA,97,1uM WA44-6,n2,0,1,0,0,1,0,0,0
338,Glycoproteins_004,1uM_WA_and_01uM_WA,98,1uM WA44-6,n2,1,19,17,0,0,0,0,1
339,Glycoproteins_004,1uM_WA_and_01uM_WA,99,1uM WA44-6,n2,1,21,19,0,0,0,0,1
340,Glycoproteins_004,1uM_WA_and_01uM_WA,100,1uM WA44-6,n2,1,9,7,0,0,0,0,1
341,Glycoproteins_004,1uM_WA_and_01uM_WA,101,1uM WA44-6,n2,1,23,19,0,0,0,0,1
342,Glycoproteins_004,1uM_WA_and_01uM_WA,102,1uM WA44-6,n2,1,20,20,0,0,1,0,0
343,Glycoproteins_004,1uM_WA_and_01uM_WA,103,1uM WA44-6,n2,1,21,20,0,0,0,0,1
344,Glycoproteins_004,1uM_WA_and_01uM_WA,104,1uM WA44-6,n2,1,8,7,0,0,0,0,1
345,Glycoproteins_004,1uM_WA_and_01uM_WA,105,1uM WA44-6,n2,1,20,19,0,0,0,0,1
346,Glycoproteins_004,1uM_WA_and_01uM_WA,106,1uM WA44-6,n2,1,17,15,0,0,0,0,1
347,Glycoproteins_004,1uM_WA_and_01uM_WA,107,1uM WA44-6,n2,1,1,0,0,1,0,0,0
348,Glycoproteins_004,1uM_WA_and_01uM_WA,108,1uM WA44-6,n2,0,1,0,0,1,0,0,0
349,Glycoproteins_004,1uM_WA_and_01uM_WA,109,1uM WA44-6,n2,1,1,4,0,0,0,0,1
350,Glycoproteins_004,1uM_WA_and_01uM_WA,110,1uM WA44-6,n2,1,5,4,0,0,0,0,1
351,Glycoproteins_004,1uM_WA_and_01uM_WA,111,1uM WA44-6,n2,1,21,20,0,0,0,0,1
352,Glycoproteins_004,1uM_WA_and_01uM_WA,112,1uM WA44-6,n2,1,22,20,0,0,0,0,1
353,Glycoproteins_004,1uM_WA_and_01uM_WA,113,1uM WA44-6,n2,0,2,0,0,1,0,0,0
354,Glycoproteins_004,1uM_WA_and_01uM_WA,114,1uM WA44-6,n2,1,22,21,0,0,0,0,1
355,Glycoproteins_004,1uM_WA_and_01uM_WA,115,1uM WA44-6,n2,1,18,12,0,0,0,0,1
356,Glycoproteins_004,1uM_WA_and_01uM_WA,116,1uM WA44-6,n2,1,3,0,0,1,0,0,0
357,Glycoproteins_004,1uM_WA_and_01uM_WA,117,1uM WA44-6,n2,1,19,16,0,0,0,0,1
358,Glycoproteins_004,1uM_WA_and_01uM_WA,118,1uM WA44-6,n2,0,1,0,0,1,0,0,0
359,Glycoproteins_004,1uM_WA_and_01uM_WA,119,1uM WA44-6,n2,1,20,18,0,0,0,0,1
360,Glycoproteins_004,1uM_WA_and_01uM_WA,120,1uM WA44-6,n2,1,19,14,0,0,0,0,1
361,Glycoproteins_004,1uM_WA_and_01uM_WA,121,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
362,Glycoproteins_004,1uM_WA_and_01uM_WA,122,0.1uM WA44-6,n2,1,15,11,0,0,0,0,1
363,Glycoproteins_004,1uM_WA_and_01uM_WA,123,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
364,Glycoproteins_004,1uM_WA_and_01uM_WA,124,0.1uM WA44-6,n2,1,15,14,0,0,0,0,1
365,Glycoproteins_004,1uM_WA_and_01uM_WA,125,0.1uM WA44-6,n2,1,21,21,0,0,1,0,0
366,Glycoproteins_004,1uM_WA_and_01uM_WA,126,0.1uM WA44-6,n2,1,22,19,0,0,0,0,1
367,Glycoproteins_004,1uM_WA_and_01uM_WA,127,0.1uM WA44-6,n2,1,18,17,0,0,0,0,1
368,Glycoproteins_004,1uM_WA_and_01uM_WA,128,0.1uM WA44-6,n2,1,24,21,0,0,0,0,1
369,Glycoproteins_004,1uM_WA_and_01uM_WA,129,0.1uM WA44-6,n2,1,21,18,0,0,0,0,1
370,Glycoproteins_004,1uM_WA_and_01uM_WA,130,0.1uM WA44-6,n2,1,17,16,0,0,0,0,1
371,Glycoproteins_004,1uM_WA_and_01uM_WA,131,0.1uM WA44-6,n2,1,19,27,0,0,0,0,1
372,Glycoproteins_004,1uM_WA_and_01uM_WA,132,0.1uM WA44-6,n2,1,8,6,0,0,0,0,1
373,Glycoproteins_004,1uM_WA_and_01uM_WA,133,0.1uM WA44-6,n2,1,5,7,0,0,0,0,1
374,Glycoproteins_004,1uM_WA_and_01uM_WA,134,0.1uM WA44-6,n2,0,6,0,0,1,0,0,0
375,Glycoproteins_004,1uM_WA_and_01uM_WA,135,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
376,Glycoproteins_004,1uM_WA_and_01uM_WA,136,0.1uM WA44-6,n2,1,22,17,0,0,0,0,1
377,Glycoproteins_004,1uM_WA_and_01uM_WA,137,0.1uM WA44-6,n2,1,19,18,0,0,0,0,1
378,Glycoproteins_004,1uM_WA_and_01uM_WA,138,0.1uM WA44-6,n2,1,20,13,0,0,0,0,1
379,Glycoproteins_004,1uM_WA_and_01uM_WA,139,0.1uM WA44-6,n2,1,14,13,0,0,0,0,1
380,Glycoproteins_004,1uM_WA_and_01uM_WA,140,0.1uM WA44-6,n2,1,16,14,0,0,0,0,1
381,Glycoproteins_004,1uM_WA_and_01uM_WA,141,0.1uM WA44-6,n2,1,25,22,0,0,0,0,1
382,Glycoproteins_004,1uM_WA_and_01uM_WA,142,0.1uM WA44-6,n2,1,21,21,0,0,1,0,0
383,Glycoproteins_004,1uM_WA_and_01uM_WA,143,0.1uM WA44-6,n2,1,17,17,0,0,1,0,0
384,Glycoproteins_004,1uM_WA_and_01uM_WA,144,0.1uM WA44-6,n2,1,18,14,0,0,0,0,1
385,Glycoproteins_004,1uM_WA_and_01uM_WA,145,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
386,Glycoproteins_004,1uM_WA_and_01uM_WA,146,0.1uM WA44-6,n2,1,21,17,0,0,0,0,1
387,Glycoproteins_004,1uM_WA_and_01uM_WA,147,0.1uM WA44-6,n2,1,25,23,0,0,0,0,1
388,Glycoproteins_004,1uM_WA_and_01uM_WA,148,0.1uM WA44-6,n2,1,14,13,0,0,0,0,1
389,Glycoproteins_004,1uM_WA_and_01uM_WA,149,0.1uM WA44-6,n2,1,27,26,0,0,0,0,1
390,Glycoproteins_004,1uM_WA_and_01uM_WA,150,0.1uM WA44-6,n2,1,16,15,0,0,0,0,1
391,Glycoproteins_004,1uM_WA_and_01uM_WA,151,0.1uM WA44-6,n2,1,23,22,0,0,0,0,1
392,Glycoproteins_004,1uM_WA_and_01uM_WA,152,0.1uM WA44-6,n2,1,22,21,0,0,0,0,1
393,Glycoproteins_004,1uM_WA_and_01uM_WA,153,0.1uM WA44-6,n2,1,22,19,0,0,0,0,1
394,Glycoproteins_004,1uM_WA_and_01uM_WA,154,0.1uM WA44-6,n2,1,16,16,0,0,1,0,0
395,Glycoproteins_004,1uM_WA_and_01uM_WA,155,0.1uM WA44-6,n2,1,21,19,0,0,0,0,1
396,Glycoproteins_004,1uM_WA_and_01uM_WA,156,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
397,Glycoproteins_004,1uM_WA_and_01uM_WA,157,0.1uM WA44-6,n2,1,19,19,0,0,0,0,1
398,Glycoproteins_004,1uM_WA_and_01uM_WA,158,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
399,Glycoproteins_004,1uM_WA_and_01uM_WA,159,0.1uM WA44-6,n2,1,16,15,0,0,0,0,1
400,Glycoproteins_004,1uM_WA_and_01uM_WA,160,0.1uM WA44-6,n2,1,16,15,0,0,0,0,1
401,Glycoproteins_004,1uM_WA_and_01uM_WA,161,0.1uM WA44-6,n2,1,8,0,0,1,0,0,0
402,Glycoproteins_004,1uM_WA_and_01uM_WA,162,0.1uM WA44-6,n2,1,22,20,0,0,0,0,1
403,Glycoproteins_004,1uM_WA_and_01uM_WA,163,0.1uM WA44-6,n2,1,8,8,0,0,1,0,0
404,Glycoproteins_004,1uM_WA_and_01uM_WA,164,0.1uM WA44-6,n2,1,21,18,0,0,0,0,1
405,Glycoproteins_004,1uM_WA_and_01uM_WA,165,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
406,Glycoproteins_004,1uM_WA_and_01uM_WA,166,0.1uM WA44-6,n2,1,16,12,0,0,0,0,1
407,Glycoproteins_004,1uM_WA_and_01uM_WA,167,0.1uM WA44-6,n2,1,13,10,0,0,0,0,1
408,Glycoproteins_004,1uM_WA_and_01uM_WA,168,0.1uM WA44-6,n2,1,16,14,0,0,0,0,1
409,Glycoproteins_004,1uM_WA_and_01uM_WA,169,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
410,Glycoproteins_004,1uM_WA_and_01uM_WA,170,0.1uM WA44-6,n2,1,18,15,0,0,0,0,1
411,Glycoproteins_004,1uM_WA_and_01uM_WA,171,0.1uM WA44-6,n2,1,20,20,0,0,1,0,0
412,Glycoproteins_004,1uM_WA_and_01uM_WA,172,0.1uM WA44-6,n2,1,22,17,0,0,0,0,1
413,Glycoproteins_004,1uM_WA_and_01uM_WA,173,0.1uM WA44-6,n2,1,19,18,0,0,0,0,1
414,Glycoproteins_004,1uM_WA_and_01uM_WA,174,0.1uM WA44-6,n2,1,18,18,0,0,1,0,0
415,Glycoproteins_004,1uM_WA_and_01uM_WA,175,0.1uM WA44-6,n2,1,16,16,0,0,1,0,0
416,Glycoproteins_004,1uM_WA_and_01uM_WA,176,0.1uM WA44-6,n2,1,20,18,0,0,0,0,1
417,Glycoproteins_004,1uM_WA_and_01uM_WA,177,0.1uM WA44-6,n2,1,12,12,0,0,1,0,0
418,Glycoproteins_004,1uM_WA_and_01uM_WA,178,0.1uM WA44-6,n2,1,21,0,0,1,0,0,0
419,Glycoproteins_004,1uM_WA_and_01uM_WA,179,0.1uM WA44-6,n2,1,17,15,0,0,0,0,1
420,Glycoproteins_004,1uM_WA_and_01uM_WA,180,0.1uM WA44-6,n2,1,2,0,0,1,0,0,0
421,Glycoproteins_004,1uM_WA_and_01uM_WA,181,0.1uM WA44-6,n2,0,3,0,0,1,0,0,0
422,Glycoproteins_004,1uM_WA_and_01uM_WA,182,0.1uM WA44-6,n2,1,9,9,0,0,1,0,0
423,Glycoproteins_004,1uM_WA_and_01uM_WA,183,0.1uM WA44-6,n2,1,14,10,0,0,0,0,1
424,Glycoproteins_004,1uM_WA_and_01uM_WA,184,0.1uM WA44-6,n2,1,19,15,0,0,0,0,1
425,Glycoproteins_004,1uM_WA_and_01uM_WA,185,0.1uM WA44-6,n2,1,25,20,0,0,0,0,1
426,Glycoproteins_004,1uM_WA_and_01uM_WA,186,0.1uM WA44-6,n2,1,21,16,0,0,0,0,1
427,Glycoproteins_004,1uM_WA_and_01uM_WA,187,0.1uM WA44-6,n2,1,24,19,0,0,0,0,1
428,Glycoproteins_004,1uM_WA_and_01uM_WA,188,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
429,Glycoproteins_004,1uM_WA_and_01uM_WA,189,0.1uM WA44-6,n2,1,19,17,0,0,0,0,1
430,Glycoproteins_004,1uM_WA_and_01uM_WA,190,0.1uM WA44-6,n2,1,21,19,0,0,0,0,1
431,Glycoproteins_004,1uM_WA_and_01uM_WA,191,0.1uM WA44-6,n2,1,8,9,0,0,0,0,1
432,Glycoproteins_004,1uM_WA_and_01uM_WA,192,0.1uM WA44-6,n2,1,1,0,0,1,0,0,0
433,Glycoproteins_004,1uM_WA_and_01uM_WA,193,0.1uM WA44-6,n2,1,6,0,0,1,0,0,0
434,Glycoproteins_004,1uM_WA_and_01uM_WA,194,0.1uM WA44-6,n2,1,13,17,0,0,0,0,1
435,Glycoproteins_004,1uM_WA_and_01uM_WA,195,0.1uM WA44-6,n2,1,19,17,0,0,0,0,1
436,Glycoproteins_004,1uM_WA_and_01uM_WA,196,0.1uM WA44-6,n2,1,19,17,0,0,0,0,1
437,Glycoproteins_004,1uM_WA_and_01uM_WA,197,0.1uM WA44-6,n2,1,20,19,0,0,0,0,1
438,Glycoproteins_004,1uM_WA_and_01uM_WA,198,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
439,Glycoproteins_004,1uM_WA_and_01uM_WA,199,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
440,Glycoproteins_004,1uM_WA_and_01uM_WA,200,0.1uM WA44-6,n2,1,7,4,0,0,0,0,1
441,Glycoproteins_004,1uM_WA_and_01uM_WA,201,0.1uM WA44-6,n2,1,9,9,0,0,1,0,0
442,Glycoproteins_004,1uM_WA_and_01uM_WA,202,0.1uM WA44-6,n2,1,13,12,0,0,0,0,1
443,Glycoproteins_004,1uM_WA_and_01uM_WA,203,0.1uM WA44-6,n2,1,17,16,0,0,0,0,1
444,Glycoproteins_004,1uM_WA_and_01uM_WA,204,0.1uM WA44-6,n2,1,1,0,0,1,0,0,0
445,Glycoproteins_004,1uM_WA_and_01uM_WA,205,0.1uM WA44-6,n2,1,7,7,0,0,0,0,1
446,Glycoproteins_004,1uM_WA_and_01uM_WA,206,0.1uM WA44-6,n2,1,25,23,0,0,0,0,1
447,Glycoproteins_004,1uM_WA_and_01uM_WA,207,0.1uM WA44-6,n2,1,14,16,0,0,0,0,1
448,Glycoproteins_004,1uM_WA_and_01uM_WA,208,0.1uM WA44-6,n2,1,23,22,0,0,0,0,1
449,Glycoproteins_004,1uM_WA_and_01uM_WA,209,0.1uM WA44-6,n2,1,19,13,0,0,0,0,1
450,Glycoproteins_004,1uM_WA_and_01uM_WA,210,0.1uM WA44-6,n2,1,3,0,0,1,0,0,0
451,Glycoproteins_004,1uM_WA_and_01uM_WA,211,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
452,Glycoproteins_004,1uM_WA_and_01uM_WA,212,0.1uM WA44-6,n2,1,12,10,0,0,0,0,1
453,Glycoproteins_004,1uM_WA_and_01uM_WA,213,0.1uM WA44-6,n2,1,23,20,0,0,0,0,1
454,Glycoproteins_004,1uM_WA_and_01uM_WA,214,0.1uM WA44-6,n2,0,2,0,0,1,0,0,0
455,Glycoproteins_004,1uM_WA_and_01uM_WA,215,0.1uM WA44-6,n2,1,2,0,0,1,0,0,0
456,Glycoproteins_004,1uM_WA_and_01uM_WA,216,0.1uM WA44-6,n2,1,8,0,0,1,0,0,0
457,Glycoproteins_004,1uM_WA_and_01uM_WA,217,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
458,Glycoproteins_004,1uM_WA_and_01uM_WA,218,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
459,Glycoproteins_004,1uM_WA_and_01uM_WA,219,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
460,Glycoproteins_004,1uM_WA_and_01uM_WA,220,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
461,Glycoproteins_004,1uM_WA_and_01uM_WA,221,0.1uM WA44-6,n2,1,12,12,0,0,0,0,1
462,Glycoproteins_004,1uM_WA_and_01uM_WA,222,0.1uM WA44-6,n2,1,23,21,0,0,0,0,1
463,Glycoproteins_004,1uM_WA_and_01uM_WA,223,0.1uM WA44-6,n2,1,9,7,0,0,0,0,1
464,Glycoproteins_004,1uM_WA_and_01uM_WA,224,0.1uM WA44-6,n2,1,24,20,0,0,0,0,1
465,Glycoproteins_004,1uM_WA_and_01uM_WA,225,0.1uM WA44-6,n2,1,8,5,0,0,0,0,1
466,Glycoproteins_004,1uM_WA_and_01uM_WA,226,0.1uM WA44-6,n2,1,9,6,0,0,0,0,1
467,Glycoproteins_004,1uM_WA_and_01uM_WA,227,0.1uM WA44-6,n2,1,4,4,0,0,1,0,0
468,Glycoproteins_004,1uM_WA_and_01uM_WA,228,0.1uM WA44-6,n2,1,2,0,0,1,0,0,0
469,Glycoproteins_004,1uM_WA_and_01uM_WA,229,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
470,Glycoproteins_004,1uM_WA_and_01uM_WA,230,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
471,Glycoproteins_004,1uM_WA_and_01uM_WA,231,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
472,Glycoproteins_004,1uM_WA_and_01uM_WA,232,0.1uM WA44-6,n2,0,18,0,0,1,0,0,0
473,Glycoproteins_004,1uM_WA_and_01uM_WA,233,0.1uM WA44-6,n2,1,8,0,0,1,0,0,0
474,Glycoproteins_004,1uM_WA_and_01uM_WA,234,0.1uM WA44-6,n2,1,17,16,0,0,0,0,1
475,Glycoproteins_004,1uM_WA_and_01uM_WA,235,0.1uM WA44-6,n2,1,18,15,0,0,0,0,1
476,Glycoproteins_004,1uM_WA_and_01uM_WA,236,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
477,Glycoproteins_004,1uM_WA_and_01uM_WA,237,0.1uM WA44-6,n2,1,7,0,0,1,0,0,0
478,Glycoproteins_004,1uM_WA_and_01uM_WA,238,0.1uM WA44-6,n2,1,16,18,0,0,0,0,1
479,Glycoproteins_004,1uM_WA_and_01uM_WA,239,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
480,Glycoproteins_004,1uM_WA_and_01uM_WA,240,0.1uM WA44-6,n2,0,1,0,0,1,0,0,0
1,Glycoproteins_005,2LS118-1_1,1,Control,n2,1,11,12,0,0,0,0,1
2,Glycoproteins_005,2LS118-1_1,2,Control,n2,1,10,10,0,0,0,0,1
3,Glycoproteins_005,2LS118-1_1,3,Control,n2,1,8,6,0,0,0,0,1
4,Glycoproteins_005,2LS118-1_1,4,Control,n2,1,7,6,0,0,0,0,1
5,Glycoproteins_005,2LS118-1_1,5,Control,n2,1,16,16,0,0,1,0,0
6,Glycoproteins_005,2LS118-1_1,6,Control,n2,1,25,23,0,0,0,0,1
7,Glycoproteins_005,2LS118-1_1,7,Control,n2,0,1,0,0,1,0,0,0
8,Glycoproteins_005,2LS118-1_1,8,Control,n2,1,16,19,0,0,0,0,1
9,Glycoproteins_005,2LS118-1_1,9,Control,n2,1,7,6,0,0,0,0,1
10,Glycoproteins_005,2LS118-1_1,10,Control,n2,1,13,13,0,0,1,0,0
11,Glycoproteins_005,2LS118-1_1,11,Control,n2,1,1,0,0,1,0,0,0
12,Glycoproteins_005,2LS118-1_1,12,Control,n2,1,10,7,0,0,0,0,1
13,Glycoproteins_005,2LS118-1_1,13,Control,n2,1,19,12,0,0,0,0,1
14,Glycoproteins_005,2LS118-1_1,14,Control,n2,1,8,13,0,0,0,0,1
15,Glycoproteins_005,2LS118-1_1,15,Control,n2,1,12,13,0,0,0,0,1
16,Glycoproteins_005,2LS118-1_1,16,Control,n2,1,18,15,0,0,0,0,1
17,Glycoproteins_005,2LS118-1_1,17,Control,n2,1,13,15,0,0,0,0,1
18,Glycoproteins_005,2LS118-1_1,18,Control,n2,1,18,18,0,0,0,0,1
19,Glycoproteins_005,2LS118-1_1,19,Control,n2,1,15,14,0,0,0,0,1
20,Glycoproteins_005,2LS118-1_1,20,Control,n2,1,15,14,0,0,0,0,1
21,Glycoproteins_005,2LS118-1_1,21,Control,n2,1,23,11,0,0,0,0,1
22,Glycoproteins_005,2LS118-1_1,22,Control,n2,1,14,14,0,0,1,0,0
23,Glycoproteins_005,2LS118-1_1,23,Control,n2,1,14,14,0,0,1,0,0
24,Glycoproteins_005,2LS118-1_1,24,Control,n2,1,13,8,0,0,0,0,1
25,Glycoproteins_005,2LS118-1_1,25,Control,n2,1,8,7,0,0,0,0,1
26,Glycoproteins_005,2LS118-1_1,26,Control,n2,1,14,12,0,0,0,0,1
27,Glycoproteins_005,2LS118-1_1,27,Control,n2,1,21,16,0,0,0,0,1
28,Glycoproteins_005,2LS118-1_1,28,Control,n2,1,6,5,0,0,0,0,1
29,Glycoproteins_005,2LS118-1_1,29,Control,n2,1,16,14,0,0,0,0,1
30,Glycoproteins_005,2LS118-1_1,30,Control,n2,1,16,16,0,0,1,0,0
31,Glycoproteins_005,2LS118-1_1,31,Control,n2,1,6,6,0,0,0,0,1
32,Glycoproteins_005,2LS118-1_1,32,Control,n2,1,3,3,0,0,1,0,0
33,Glycoproteins_005,2LS118-1_1,33,Control,n2,1,11,10,0,0,0,0,1
34,Glycoproteins_005,2LS118-1_1,34,Control,n2,1,16,14,0,0,0,0,1
35,Glycoproteins_005,2LS118-1_1,35,Control,n2,1,5,4,0,0,0,0,1
36,Glycoproteins_005,2LS118-1_1,36,Control,n2,1,11,10,0,0,0,0,1
37,Glycoproteins_005,2LS118-1_1,37,Control,n2,1,6,4,0,0,0,0,1
38,Glycoproteins_005,2LS118-1_1,38,Control,n2,1,18,18,0,0,1,0,0
39,Glycoproteins_005,2LS118-1_1,39,Control,n2,1,8,4,0,0,0,0,1
40,Glycoproteins_005,2LS118-1_1,40,Control,n2,1,22,11,0,0,0,0,1
41,Glycoproteins_005,2LS118-1_1,41,Control,n2,1,16,16,0,0,1,0,0
42,Glycoproteins_005,2LS118-1_1,42,Control,n2,1,8,8,0,0,1,0,0
43,Glycoproteins_005,2LS118-1_1,43,Control,n2,1,3,3,0,0,1,0,0
44,Glycoproteins_005,2LS118-1_1,44,Control,n2,1,19,18,0,0,0,0,1
45,Glycoproteins_005,2LS118-1_1,45,Control,n2,1,6,4,0,0,0,0,1
46,Glycoproteins_005,2LS118-1_1,46,Control,n2,1,7,7,0,0,1,0,0
47,Glycoproteins_005,2LS118-1_1,47,Control,n2,1,12,12,0,0,1,0,0
